score	signals	item	sentence
4	welldef	Chapter6/Section6.8_heading	We now consider the sequence $$ V^{(0)} = V, \quad V^{(1)} = F_n^+ V, \quad V^{(2)} = F_{n-1}^+ F_n^+ V, \quad \ldots. $$ This sequence is well defined because of the selected labeling: $n$ has to be a sink of $Q$, $n-1$ has to be a sink of $\overline{Q}_n$ (where $\overline{Q}_r$ is obtained from $
4	iff_equiv	Chapter7/Introduction_7.4	Equivalence of categories When two algebraic or geometric objects are isomorphic, it is usually not a good idea to say that they are equal (i.e., literally the same).
4	iff_equiv	Chapter7/Introduction_7.4	This is accomplished by the definition of an equivalence of categories.
4	iff_equiv	Chapter7/Discussion_after_Definition7.4.1	Also, the category **FSet** of finite sets is equivalent to the category whose objects are nonnegative integers, and morphisms are given by $$ \operatorname{Hom}(m, n) = \operatorname{Maps}(\{1, \ldots, m\}, \{1, \ldots, n\}). $$ Are these categories isomorphic?
4	iff_equiv	Chapter7/Discussion_after_Definition7.9.1	It is easy to show that if $F$ is an additive functor, then $F(X \oplus Y)$ is canonically isomorphic to $F(X) \oplus F(Y)$.
4	iff_equiv	Chapter9/Introduction_9.7	Defining $B_{\mathbf{n}} = B_{\mathbf{n}}(\mathcal{C}) := \operatorname{End}(P_{\mathbf{n}})^{\mathrm{op}}$, we see that the algebras $B_{\mathbf{n}}$ are all the finite dimensional algebras whose category of finite dimensional modules is equivalent to $\mathcal{C}$.
3	property	Chapter2/Discussion_commutativity_examples	For instance, in the above examples, $A$ is commutative in cases 1 and 2 but not commutative in cases 3 (if $\dim V > 1$) and 4 (if $n > 1$).
3	property	Chapter2/Discussion_proof_Corollary2.3.12	Indeed, $$ \rho(a)\rho(b)v = \rho(ab)v = \rho(ba)v = \rho(b)\rho(a)v $$ (the second equality is true since the algebra is commutative).
3	property	Chapter2/Discussion_proof_Corollary2.3.12	But $V$ is irreducible, so $0$ and $V$ are the only subspaces of $V$.
3	dimformula	Chapter2/Discussion_proof_Corollary2.3.12	This means that $\dim V = 1$ (since $V \neq 0$). $\square$
3	property	Chapter2/Discussion_faithful_example	However, the representation $E = t^a k[a][t, t^{-1}]$, as we've seen, is faithful in any characteristic.
3	property	Chapter2/Discussion_pure_tensors	Note that this tensor product is associative, in the sense that $(V_1 \otimes V_2) \otimes V_3$ can be naturally identified with $V_1 \otimes (V_2 \otimes V_3)$.
3	property	Chapter3/Remark3.1.3	Therefore one may assume that $V$ is irreducible.
3	property	Chapter3/Discussion_alternative_proof_of_Proposition3.1.4	Now, suppose $V = \bigoplus_{i \in I} V_i$ with $V_i$ irreducible, and $f : V \to U$ is a surjective homomorphism.
3	property	Chapter3/Remark3.3.4	Then there is a unique homomorphism $\psi : A^n \to X$ such that $\psi(a_1, \ldots, a_n) = \sum_i a_i x_i$, and it is surjective.
3	property	Chapter3/Discussion_proof_of_Theorem3.10.2	Thus, $V \otimes W$ is irreducible.
3	property	Chapter3/Discussion_proof_of_Theorem3.10.2	Then $J$ is a nilpotent ideal in $A \otimes B$, as $\operatorname{Rad}(A)$ and $\operatorname{Rad}(B)$ are nilpotent.
3	property	Chapter4/Discussion_after_Theorem4.5.1	Theorem 4.5.1 gives a powerful method of checking if a given complex representation $V$ of a finite group $G$ is irreducible.
3	property	Chapter4/Remark4.5.3	Namely, equip the space $F(G, \mathbb{C})$ of complex-valued functions on $G$ with the convolution product $$(f * g)(z) = \sum_{x, y \in G : xy = z} f(x)g(y).$$ This product turns $F(G, \mathbb{C})$ into an associative algebra, with unit $\delta_e$ (the characteristic function of the unit $e \in G$)
3	property	Chapter4/Remark4.5.3	Note that Frobenius defined representations at approximately the same time, but for some time it was not clear that there is a simple relation between irreducible representations and characters (namely, that irreducible characters are simply traces of group elements in irreducible representations).
3	property	Chapter4/Discussion_after_Theorem4.6.2	Theorem 4.6.2 implies that if $V$ is a finite dimensional representation of a finite group $G$, then the **complex conjugate representation** $\overline{V}$ (i.e., the same space $V$ with the same addition and the same action of $G$, but complex conjugate action of scalars) is isomorphic to the dual
3	property	Chapter5/Introduction	Frobenius-Schur indicator Suppose that $G$ is a finite group and $V$ is an irreducible representation of $G$ over $\mathbb{C}$.
3	dimformula	Chapter5/Discussion_proof_of_Theorem5.4.4	**Proof of Theorem 5.4.4.** Let $\dim V = n$.
3	property	Chapter5/Discussion_proof_of_Theorem5.4.3	Then $G$ is simple, and by Theorem 5.4.6, it cannot have a conjugacy class of order $p^k$ or $q^k$, $k \geq 1$.
3	dimformula	Chapter5/Discussion_hook_length_derivation	\ldots l_N!} \sum_{s \in S_N} (-1)^s \prod_j l_j(l_j - 1) \ldots (l_j - N + s(j) + 1) $$ $$ = \frac{n!}{\prod_j l_j!} \det(l_j(l_j - 1) \ldots (l_j - N + i + 1)). $$ Using column reduction and the Vandermonde determinant formula, we see from this expression that $$ (5.17.1) \qquad \dim V_\lambda = \
3	dimformula	Chapter5/Discussion_computing_characters_of_L_lambda	Namely, let $\dim V = N$, let $g \in GL(V)$, and let $x_1, \ldots, x_N$ be the eigenvalues of $g$ on $V$.
3	dimformula	Chapter5/Remark5.23.3	For $\dim V = 2$ one then recovers the representation theory of $\mathfrak{sl}(2)$ studied in Problem 2.15.1.
3	property	Chapter5/Discussion_5.25.1	To begin, let us find the conjugacy classes in $GL_2(\mathbb{F}_q)$. | Representatives | Number of elements in a conjugacy class | Number of classes | |---|---|---| | Scalar $\begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix}$ | 1 (this is a central element) | $q - 1$ (one for every nonzero $x$) | | Parab
3	property	Chapter5/Discussion_5.25.1	These are the matrices whose characteristic polynomial is irreducible over $\mathbb{F}_q$ and which therefore don't have eigenvalues in $\mathbb{F}_q$.
3	property	Chapter5/Discussion_complementary_series_summary	We have now shown that for any $\nu$ with $\nu^q \neq \nu$ the representation $Y_\nu$ with the same character as $$W_1 \otimes V_{\alpha,1} - V_{\alpha,1} - \operatorname{Ind}_K^G \mathbb{C}_\nu$$ exists and is irreducible.
3	dimformula	Chapter6/Discussion_after_Corollary6.8.3	These two corollaries show that there are only finitely many indecomposable representations (since there are only finitely many roots) and that the dimension vector of each of them is a positive root.
3	property	Chapter7/Introduction_7.5	We say that $F$ is **representable** if there exists an object $X \in \mathcal{C}$ such that $F$ is isomorphic to the functor $\operatorname{Hom}(X, ?)$.
3	dimformula	Chapter7/Discussion_after_Definition7.6.1	This follows easily from the Yoneda lemma, since if **Table 1.** Dictionary between category theory and linear algebra. | Category theory | Linear algebra | |---|---| | Category $\mathcal{C}$ | Vector space $V$ with a nondegenerate inner product | | The set of morphisms $\operatorname{Hom}(X, Y)$ | 
3	property	Chapter7/Remark7.7.4	This is why people prefer to use the standard definition, which is free from this drawback, even though it is more abstract.
3	this_defines+thus_therefore	Chapter9/Discussion_after_Definition9.7.1	Thus, we obtain that Morita equivalence classes of finite dimensional algebras are the collections of the form $\{B_{\mathbf{n}}(\mathcal{C}), \mathbf{n} \in \mathbb{N}^m\}$.
3	dimformula	Chapter9/Discussion_after_Definition9.7.1	Note that the dimension of $B_{\mathbf{n}}$ is $\sum c_{ij} n_i n_j$, where $(c_{ij})$ is the Cartan matrix of $\mathcal{C}$.
2	easy_assert	Chapter2/Remark2.8.5	**Remark 2.8.5.** It is easy to see that if $Q$ is a finite set then $\sum_{i \in I} p_i = 1$, so $P_Q$ is an algebra with unit.
2	easy_assert	Chapter2/Discussion_quiver_rep_bijection	It is clear that the above assignments $\mathbf{V} \mapsto (p_i \mathbf{V})$ and $(V_i) \mapsto \bigoplus_i V_i$ are inverses of each other.
2	easy_assert	Chapter2/Remark2.9.14	Clearly, such a derivation is determined by its action at the unit element $e \in G$, so $\operatorname{Lie}(G)$ can be identified as a vector space with the tangent space $T_e G$ to $G$ at $e$.
2	easy_assert	Chapter2/Discussion_2.9_Lie_groups	One can show that this group has a natural structure of a connected Lie group, whose Lie algebra is $\mathfrak{g}$ (even though it is not always a closed subgroup).
2	easy_assert	Chapter3/Remark3.1.3	Indeed, we have a natural map $f : \bigoplus_X \operatorname{Hom}(X, V) \otimes X \to V$, given by $g \otimes x \to g(x)$, $x \in X$, $g \in \operatorname{Hom}(X, V)$, and it is easy to verify that this map is an isomorphism.
2	easy_assert	Chapter3/Discussion_proof_of_Theorem3.3.1	**Proof of Theorem 3.3.1.** First, the given representations are clearly irreducible, since for any $v \neq 0$, $w \in V_i$, there exists $a \in A$ such that $av = w$.
2	easy_assert	Chapter3/Discussion_proof_of_Theorem3.3.1	The map $\phi$ is clearly surjective, as $k \subset A$.
2	easy_assert	Chapter3/Discussion_after_Theorem3.7.1	It is easy to see that $n$ is also the maximal length of a filtration of $V$ in which all the inclusions are strict.
2	this_defines	Chapter3/Discussion_proof_of_Theorem3.8.1	Since $g$ is an isomorphism, we get $v = 0$, as desired.
2	this_defines	Chapter4/Introduction_4.5	Orthogonality of characters We define a positive definite Hermitian inner product on $\mathrm{F}_c(G, \mathbb{C})$ (the space of central functions) by $$(f_1, f_2) = \frac{1}{|G|} \sum_{g \in G} f_1(g)\overline{f_2(g)}.$$ The following theorem says that characters of irreducible representations of $
2	easy_assert	Chapter4/Remark4.5.5	If $g$ and $h$ are not conjugate, this trace is clearly zero, since the matrix of the operator $x \mapsto gxh^{-1}$ in the basis of group elements has zero diagonal entries.
2	this_defines	Chapter4/Discussion_proof_Theorem4.10.2	We set $P_i = \det_{V_i} L(\mathbf{x})$.
2	this_defines	Chapter5/Discussion_proof_of_Theorem5.4.4	Thus, by Lemma 5.4.5, we get that either $\varepsilon_1 = \cdots = \varepsilon_n$ or $\varepsilon_1 + \cdots + \varepsilon_n = \chi_V(g) = 0$.
2	this_defines	Chapter5/Discussion_5.11_examples	Using the Frobenius reciprocity, we obtain $\operatorname{Ind}_H^G \mathbb{C}_+ = \mathbb{C}^2 \oplus \mathbb{C}_+$ and $\operatorname{Ind}_H^G \mathbb{C}_- = \mathbb{C}^2 \oplus \mathbb{C}_-$.
2	this_defines	Chapter5/Discussion_5.11_examples	Then we obtain $\operatorname{Ind}_H^G \mathbb{C}_+ = \mathbb{C}_+ \oplus \mathbb{C}_-$, $\operatorname{Ind}_H^G \mathbb{C}_\epsilon = \operatorname{Ind}_H^G \mathbb{C}_{\epsilon^2} = \mathbb{C}^2$.
2	easy_assert	Chapter5/Introduction_5.14	It is easy to see that $U_\lambda$ can be alternatively defined as $U_\lambda = \mathbb{C}[S_n] a_\lambda$.
2	this_defines	Chapter5/Discussion_proof_of_Frobenius_character_formula	We have $$(\theta_\lambda, \theta_\lambda) = \frac{1}{n!} \sum_{\mathbf{i}} |C_{\mathbf{i}}| \theta_\lambda(C_{\mathbf{i}})^2.$$ Using that $$|C_{\mathbf{i}}| = \frac{n!}{\prod_m m^{i_m} i_m!},$$ we conclude that $(\theta_\lambda, \theta_\lambda)$ is the coefficient of $x^{\lambda+\rho} y^{\lambda+\
2	this_defines	Chapter5/Discussion_proof_of_Lemma5.15.3	The proportionality coefficient (which is equal to 1) is found by induction by multiplying both sides by $z_N - y_N$ and then setting $z_N = y_N$. $\square$ Now setting $z_i = 1/x_i$ in the lemma, we get
2	easy_assert	Chapter5/Discussion_Schur_polynomials	Let $$ D_\lambda(x) = \sum_{s \in S_N} (-1)^s \prod_{j=1}^{N} x_{s(j)}^{\lambda_j + N - j} = \det(x_i^{\lambda_j + N - j}). $$ Define the polynomials $$ S_\lambda(x) := \frac{D_\lambda(x)}{D_0(x)} $$ (clearly $D_0(x)$ is just $\Delta(x)$).
2	easy_assert	Chapter5/Discussion_Schur_polynomials	It is easy to see that these are indeed polynomials, as $D_\lambda$ is antisymmetric and therefore must be divisible by $\Delta$.
2	this_defines	Chapter5/Discussion_computing_characters_of_L_lambda	If $s \in C_\mathbf{i}$, we easily get that this trace equals $$ \prod_m \operatorname{Tr}(g^m)^{i_m} = \prod_m H_m(x)^{i_m}. $$ On the other hand, by the Schur-Weyl duality $$ \operatorname{Tr}_{V^{\otimes n}}(g^{\otimes n} s) = \sum_\lambda \chi_\lambda(C_\mathbf{i}) \operatorname{Tr}_{L_\lambda}(
2	easy_assert	Chapter5/Discussion_proof_of_Theorem5.23.2	It is easy to see that $\xi$ is a homomorphism of representations (where the action of $GL(V)$ on the first component of $Y \otimes R$ is trivial).
2	easy_assert	Chapter5/Remark5.23.3	In particular, one can show that any finite dimensional representation of $\mathfrak{sl}(V)$ is completely reducible and any irreducible representation is of the form $L_\lambda$ (we will not do this here).
2	this_defines	Chapter5/Discussion_5.25.4	We get $$ \chi \begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix} = q(q - 1)\nu(x), $$ $$ \chi(A) = 0 \quad \text{for } A \text{ parabolic or hyperbolic}, $$ $$ \chi \begin{pmatrix} x & \varepsilon y \\ y & x \end{pmatrix} = \nu \begin{pmatrix} x & \varepsilon y \\ y & x \end{pmatrix} + \nu \begin{pmatrix
2	this_defines	Chapter5/Discussion_5.25.4	Therefore, for $\nu^q \neq \nu$ we get $\frac{1}{2}q(q - 1)$ representations.
2	easy_assert	Chapter5/Discussion_semidirect_products	The **semidirect product** $G \ltimes A$ is defined to be the product $A \times G$ with multiplication law $$(a_1, g_1)(a_2, g_2) = (a_1 g_1(a_2), g_1 g_2).$$ Clearly, $G$ and $A$ are subgroups of $G \ltimes A$ in a natural way.
2	this_defines	Chapter5/Discussion_semidirect_products	Then we define a representation $V_{(O,U)}$ of $G \ltimes A$ as follows.
2	this_defines	Chapter5/Discussion_semidirect_products	As a representation of $G$, we set $$ V_{(O,x,U)} = \operatorname{Ind}_{G_x}^G U = \{f : G \to U | f(hg) = hf(g), h \in G_x\}. $$ Next, we introduce an additional action of $A$ on this space by $(af)(g) = x(g(a))f(g)$.
2	easy_assert	Chapter5/Discussion_semidirect_products	Then it is easy to check that these two actions combine into an action of $G \ltimes A$.
2	easy_assert	Chapter5/Discussion_semidirect_products	Also, it is clear that this representation does not really depend on the choice of $x$, in the following sense.
2	easy_assert	Chapter7/Introduction_7.4	It is easy to check that for any category $\mathcal{D}$, there is a natural bijection between the collections of isomorphism classes of functors $\mathcal{C}_1 \to \mathcal{D}$ and $\mathcal{C}_2 \to \mathcal{D}$ (both are identified with the collection of isomorphism classes of objects of $\mathcal
2	easy_assert	Chapter7/Discussion_after_Definition7.8.1	Clearly, such morphisms can be composed, which makes the class of all complexes over $\mathcal{C}$ into a category, denoted $\operatorname{Compl}(\mathcal{C})$.
1	thus_therefore	Chapter2/Discussion_proof_Corollary2.3.10	Thus by Proposition 2.3.9 this operator is zero, hence the result. $\square$
1	thus_therefore	Chapter2/Discussion_proof_Corollary2.3.12	Hence every subspace of $V$ is a subrepresentation.
1	thus_therefore	Chapter2/Discussion_quiver_rep_bijection	Thus, we have a bijection between isomorphism classes of representations of the algebra $P_Q$ and of the quiver $Q$.
1	thus_therefore	Chapter3/Introduction_to_3.6	Thus, we may view the character as a mapping $\chi_V : A/[A, A] \to k$.
1	thus_therefore	Chapter5/Discussion_proof_of_Theorem5.4.6	Theorem 5.4.4 implies that $g$ (and hence any element of $C$) acts by a scalar in $V$.
1	thus_therefore	Chapter5/Discussion_proof_of_Lemma5.13.4	Thus the statement immediately follows from the fact that $\operatorname{Hom}_A(A, M) \cong M$ and the decomposition $A = Ae \oplus A(1 - e)$. $\square$
1	thus_therefore	Chapter5/Discussion_proof_of_Frobenius_character_formula	Now note that $\mu = \langle\lambda + \rho - \sigma(\rho)\rangle$ is obtained from $\lambda$ by adding vectors of the form $e_i - e_j$, $i < j$, which implies that $\mu > \lambda$ or $\mu = \lambda$, and the case $\mu = \lambda$ arises only if $\sigma = 1$. ${}^2$ Therefore, the above claim follows 
1	thus_therefore	Chapter5/Discussion_after_Definition5.23.1	For example, $V^{\otimes n}$ and hence all $L_\lambda$ are algebraic.
1	thus_therefore	Chapter5/Discussion_after_Definition5.23.1	Thus we have attached a unique irreducible algebraic representation $L_\lambda$ of $GL(V) = GL_N$ to any sequence $(\lambda_1, \ldots, \lambda_N)$ of integers (not necessarily positive) such that $\lambda_1 \geq \cdots \geq \lambda_N$.
1	thus_therefore	Chapter5/Discussion_proof_of_Theorem5.23.2	Thus, it suffices to prove the theorem for a subrepresentation $Y \subset R^m$.
1	thus_therefore	Chapter5/Discussion_5.25.4	The character of this representation is $$ \chi \begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix} = q(q + 1)\alpha(x), $$ $$ \chi(A) = 0 \quad \text{for } A \text{ parabolic or elliptic}, $$ $$ \chi \begin{pmatrix} x & 0 \\ 0 & y \end{pmatrix} = \alpha(x) + \alpha(y). $$ Thus the "virtual representation"
1	thus_therefore	Chapter5/Discussion_semidirect_products	Thus we will denote $V_{(O,x,U)}$ by $V_{(O,U)}$ (remembering, however, that $x$ has been fixed).
1	thus_therefore	Chapter7/Discussion_after_Remark7.7.4	In particular, the categories in Example 7.7.2 are $k$-linear.
1	thus_therefore	Chapter9/Discussion_after_Definition9.7.1	In particular, the algebra $B = B_{\mathbf{n}}$ with the smallest possible dimension, $\sum c_{ij}$, corresponds to the case when all $n_i = 1$, i.e., to the projective generator $P = \bigoplus_i P_i$.
