blob_id	type	chapter	seed_score	seed_signals	prior_step2_verdict	stale_since	seed_sentence
Chapter5/Discussion_proof_of_Theorem5.3.1	discussion	Chapter5	6	dimformula+property	unknown	#5388	On the other hand, from the definition of $\lambda_i$, $$\sum_{C_i} \lambda_i \overline{\chi_V(g_{C_i})} = \sum_i \frac{|C_i| \chi_V(g_{C_i}) \overline{\chi_V(g_{C_i})}}{\dim V}.$$ Recalling that $\chi_V$ is a class function, this is equal to $$\sum_{g \in G} \frac{\chi_V(g) \overline{\chi_V(g)}}{\d
Chapter5/Discussion_hook_length_derivation	discussion	Chapter5	5	dimformula+this_defines	unknown	#5388	Then, using the determinant formula for $\Delta(x)$ and expanding the determinant as a sum over permutations, we get $$ \dim V_\lambda = \sum_{s \in S_N : l_j \geq N - s(j)} (-1)^s \frac{n!}{\prod_j (l_j - N + s(j))!} $$ $$ = \frac{n!}{l_1!
Chapter5/Discussion_before_Theorem5.18.4	discussion	Chapter5	5	property+this_defines	unknown	#5388	"Now, the algebra $A$ is semisimple by Maschke's theorem, so the double centralizer theorem applies, and we get the following result, which goes under the name ""Schur-Weyl duality"" (as it was discovered by Schur and popularized by Weyl in his books *The theory of groups and quantum mechanics* and *Cl"
Chapter5/Discussion_verification_of_Ind	discussion	Chapter5	4	welldef	unknown	#5388	Let us check that $\operatorname{Ind}_H^G V$ is well defined as a representation.
Chapter5/Discussion_footnote_5.15	discussion	Chapter5	4	iff_equiv	unknown	#5388	--- ${}^2$Another way to see this is to note that $\sigma(\rho) \leq \rho$ lexicographically with equality if and only if $\sigma = 1$, and subtracting both sides from the constant vector $\lambda + \rho$ shows that $\lambda + \rho - \sigma(\rho) \geq \lambda$ with equality if and only if $\sigma = 
Chapter5/Introduction	introduction	Chapter5	3	property	unknown	#5388	Frobenius-Schur indicator Suppose that $G$ is a finite group and $V$ is an irreducible representation of $G$ over $\mathbb{C}$.
Chapter5/Discussion_proof_of_Theorem5.4.4	discussion	Chapter5	3	dimformula	unknown	#5388	**Proof of Theorem 5.4.4.** Let $\dim V = n$.
Chapter5/Discussion_proof_of_Theorem5.4.3	discussion	Chapter5	3	property	unknown	#5388	Then $G$ is simple, and by Theorem 5.4.6, it cannot have a conjugacy class of order $p^k$ or $q^k$, $k \geq 1$.
Chapter5/Discussion_hook_length_derivation	discussion	Chapter5	3	dimformula	unknown	#5388	\ldots l_N!} \sum_{s \in S_N} (-1)^s \prod_j l_j(l_j - 1) \ldots (l_j - N + s(j) + 1) $$ $$ = \frac{n!}{\prod_j l_j!} \det(l_j(l_j - 1) \ldots (l_j - N + i + 1)). $$ Using column reduction and the Vandermonde determinant formula, we see from this expression that $$ (5.17.1) \qquad \dim V_\lambda = \
Chapter5/Discussion_computing_characters_of_L_lambda	discussion	Chapter5	3	dimformula	unknown	#5388	Namely, let $\dim V = N$, let $g \in GL(V)$, and let $x_1, \ldots, x_N$ be the eigenvalues of $g$ on $V$.
Chapter5/Discussion_5.25.1	discussion	Chapter5	3	property	unknown	#5388	To begin, let us find the conjugacy classes in $GL_2(\mathbb{F}_q)$. | Representatives | Number of elements in a conjugacy class | Number of classes | |---|---|---| | Scalar $\begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix}$ | 1 (this is a central element) | $q - 1$ (one for every nonzero $x$) | | Parab
Chapter5/Discussion_5.25.1	discussion	Chapter5	3	property	unknown	#5388	These are the matrices whose characteristic polynomial is irreducible over $\mathbb{F}_q$ and which therefore don't have eigenvalues in $\mathbb{F}_q$.
Chapter5/Discussion_complementary_series_summary	discussion	Chapter5	3	property	unknown	#5388	We have now shown that for any $\nu$ with $\nu^q \neq \nu$ the representation $Y_\nu$ with the same character as $$W_1 \otimes V_{\alpha,1} - V_{\alpha,1} - \operatorname{Ind}_K^G \mathbb{C}_\nu$$ exists and is irreducible.
Chapter5/Discussion_proof_of_Theorem5.4.4	discussion	Chapter5	2	this_defines	unknown	#5388	Thus, by Lemma 5.4.5, we get that either $\varepsilon_1 = \cdots = \varepsilon_n$ or $\varepsilon_1 + \cdots + \varepsilon_n = \chi_V(g) = 0$.
Chapter5/Discussion_5.11_examples	discussion	Chapter5	2	this_defines	gap	#5388	Using the Frobenius reciprocity, we obtain $\operatorname{Ind}_H^G \mathbb{C}_+ = \mathbb{C}^2 \oplus \mathbb{C}_+$ and $\operatorname{Ind}_H^G \mathbb{C}_- = \mathbb{C}^2 \oplus \mathbb{C}_-$.
Chapter5/Discussion_5.11_examples	discussion	Chapter5	2	this_defines	gap	#5388	Then we obtain $\operatorname{Ind}_H^G \mathbb{C}_+ = \mathbb{C}_+ \oplus \mathbb{C}_-$, $\operatorname{Ind}_H^G \mathbb{C}_\epsilon = \operatorname{Ind}_H^G \mathbb{C}_{\epsilon^2} = \mathbb{C}^2$.
Chapter5/Introduction_5.14	introduction	Chapter5	2	easy_assert	gap	#5388	It is easy to see that $U_\lambda$ can be alternatively defined as $U_\lambda = \mathbb{C}[S_n] a_\lambda$.
Chapter5/Discussion_proof_of_Frobenius_character_formula	discussion	Chapter5	2	this_defines	unknown	#5388	We have $$(\theta_\lambda, \theta_\lambda) = \frac{1}{n!} \sum_{\mathbf{i}} |C_{\mathbf{i}}| \theta_\lambda(C_{\mathbf{i}})^2.$$ Using that $$|C_{\mathbf{i}}| = \frac{n!}{\prod_m m^{i_m} i_m!},$$ we conclude that $(\theta_\lambda, \theta_\lambda)$ is the coefficient of $x^{\lambda+\rho} y^{\lambda+\
Chapter5/Discussion_proof_of_Lemma5.15.3	discussion	Chapter5	2	this_defines	unknown	#5388	The proportionality coefficient (which is equal to 1) is found by induction by multiplying both sides by $z_N - y_N$ and then setting $z_N = y_N$. $\square$ Now setting $z_i = 1/x_i$ in the lemma, we get
Chapter5/Discussion_Schur_polynomials	discussion	Chapter5	2	easy_assert	unknown	#5388	Let $$ D_\lambda(x) = \sum_{s \in S_N} (-1)^s \prod_{j=1}^{N} x_{s(j)}^{\lambda_j + N - j} = \det(x_i^{\lambda_j + N - j}). $$ Define the polynomials $$ S_\lambda(x) := \frac{D_\lambda(x)}{D_0(x)} $$ (clearly $D_0(x)$ is just $\Delta(x)$).
Chapter5/Discussion_Schur_polynomials	discussion	Chapter5	2	easy_assert	unknown	#5388	It is easy to see that these are indeed polynomials, as $D_\lambda$ is antisymmetric and therefore must be divisible by $\Delta$.
Chapter5/Discussion_computing_characters_of_L_lambda	discussion	Chapter5	2	this_defines	unknown	#5388	If $s \in C_\mathbf{i}$, we easily get that this trace equals $$ \prod_m \operatorname{Tr}(g^m)^{i_m} = \prod_m H_m(x)^{i_m}. $$ On the other hand, by the Schur-Weyl duality $$ \operatorname{Tr}_{V^{\otimes n}}(g^{\otimes n} s) = \sum_\lambda \chi_\lambda(C_\mathbf{i}) \operatorname{Tr}_{L_\lambda}(
Chapter5/Discussion_proof_of_Theorem5.23.2	discussion	Chapter5	2	easy_assert	unknown	#5388	It is easy to see that $\xi$ is a homomorphism of representations (where the action of $GL(V)$ on the first component of $Y \otimes R$ is trivial).
Chapter5/Discussion_5.25.4	discussion	Chapter5	2	this_defines	gap	#5388	We get $$ \chi \begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix} = q(q - 1)\nu(x), $$ $$ \chi(A) = 0 \quad \text{for } A \text{ parabolic or hyperbolic}, $$ $$ \chi \begin{pmatrix} x & \varepsilon y \\ y & x \end{pmatrix} = \nu \begin{pmatrix} x & \varepsilon y \\ y & x \end{pmatrix} + \nu \begin{pmatrix
Chapter5/Discussion_5.25.4	discussion	Chapter5	2	this_defines	gap	#5388	Therefore, for $\nu^q \neq \nu$ we get $\frac{1}{2}q(q - 1)$ representations.
Chapter5/Discussion_semidirect_products	discussion	Chapter5	2	easy_assert	unknown	#5388	The **semidirect product** $G \ltimes A$ is defined to be the product $A \times G$ with multiplication law $$(a_1, g_1)(a_2, g_2) = (a_1 g_1(a_2), g_1 g_2).$$ Clearly, $G$ and $A$ are subgroups of $G \ltimes A$ in a natural way.
Chapter5/Discussion_semidirect_products	discussion	Chapter5	2	this_defines	unknown	#5388	Then we define a representation $V_{(O,U)}$ of $G \ltimes A$ as follows.
Chapter5/Discussion_semidirect_products	discussion	Chapter5	2	this_defines	unknown	#5388	As a representation of $G$, we set $$ V_{(O,x,U)} = \operatorname{Ind}_{G_x}^G U = \{f : G \to U | f(hg) = hf(g), h \in G_x\}. $$ Next, we introduce an additional action of $A$ on this space by $(af)(g) = x(g(a))f(g)$.
Chapter5/Discussion_semidirect_products	discussion	Chapter5	2	easy_assert	unknown	#5388	Then it is easy to check that these two actions combine into an action of $G \ltimes A$.
Chapter5/Discussion_semidirect_products	discussion	Chapter5	2	easy_assert	unknown	#5388	Also, it is clear that this representation does not really depend on the choice of $x$, in the following sense.
Chapter5/Discussion_proof_of_Theorem5.4.6	discussion	Chapter5	1	thus_therefore	unknown	#5388	Theorem 5.4.4 implies that $g$ (and hence any element of $C$) acts by a scalar in $V$.
Chapter5/Discussion_proof_of_Lemma5.13.4	discussion	Chapter5	1	thus_therefore	unknown	#5388	Thus the statement immediately follows from the fact that $\operatorname{Hom}_A(A, M) \cong M$ and the decomposition $A = Ae \oplus A(1 - e)$. $\square$
Chapter5/Discussion_proof_of_Frobenius_character_formula	discussion	Chapter5	1	thus_therefore	unknown	#5388	Now note that $\mu = \langle\lambda + \rho - \sigma(\rho)\rangle$ is obtained from $\lambda$ by adding vectors of the form $e_i - e_j$, $i < j$, which implies that $\mu > \lambda$ or $\mu = \lambda$, and the case $\mu = \lambda$ arises only if $\sigma = 1$. ${}^2$ Therefore, the above claim follows 
Chapter5/Discussion_after_Definition5.23.1	discussion	Chapter5	1	thus_therefore	unknown	#5388	For example, $V^{\otimes n}$ and hence all $L_\lambda$ are algebraic.
Chapter5/Discussion_after_Definition5.23.1	discussion	Chapter5	1	thus_therefore	unknown	#5388	Thus we have attached a unique irreducible algebraic representation $L_\lambda$ of $GL(V) = GL_N$ to any sequence $(\lambda_1, \ldots, \lambda_N)$ of integers (not necessarily positive) such that $\lambda_1 \geq \cdots \geq \lambda_N$.
Chapter5/Discussion_proof_of_Theorem5.23.2	discussion	Chapter5	1	thus_therefore	unknown	#5388	Thus, it suffices to prove the theorem for a subrepresentation $Y \subset R^m$.
Chapter5/Discussion_5.25.4	discussion	Chapter5	1	thus_therefore	gap	#5388	"The character of this representation is $$ \chi \begin{pmatrix} x & 0 \\ 0 & x \end{pmatrix} = q(q + 1)\alpha(x), $$ $$ \chi(A) = 0 \quad \text{for } A \text{ parabolic or elliptic}, $$ $$ \chi \begin{pmatrix} x & 0 \\ 0 & y \end{pmatrix} = \alpha(x) + \alpha(y). $$ Thus the ""virtual representation"""
Chapter5/Discussion_semidirect_products	discussion	Chapter5	1	thus_therefore	unknown	#5388	Thus we will denote $V_{(O,x,U)}$ by $V_{(O,U)}$ (remembering, however, that $x$ has been fixed).
Chapter6/Discussion_after_Example6.3.1	discussion	Chapter6	4	welldef	unknown	#5388	It appears as if the number of indecomposable representations does not depend on the orientation of the edges — and indeed Gabriel's theorem will generalize this observation.
Chapter6/Section6.8_heading	discussion	Chapter6	4	welldef	unknown	#5388	We now consider the sequence $$ V^{(0)} = V, \quad V^{(1)} = F_n^+ V, \quad V^{(2)} = F_{n-1}^+ F_n^+ V, \quad \ldots. $$ This sequence is well defined because of the selected labeling: $n$ has to be a sink of $Q$, $n-1$ has to be a sink of $\overline{Q}_n$ (where $\overline{Q}_r$ is obtained from $
Chapter6/Discussion_after_Corollary6.8.3	discussion	Chapter6	3	dimformula	unknown	#5388	These two corollaries show that there are only finitely many indecomposable representations (since there are only finitely many roots) and that the dimension vector of each of them is a positive root.
Chapter7/Discussion_after_Definition7.4.1	discussion	Chapter7	10	author_check+iff_equiv+thus_therefore	gap	#5388	In particular, the above categories $\mathcal{C}_1$ and $\mathcal{C}_2$ are equivalent (check it!).
Chapter7/Introduction_7.1	introduction	Chapter7	5	author_check	unknown	#5388	For a serious acquaintance with category theory, the reader may use, for instance, the classical book [**McL**].
Chapter7/Introduction_7.4	introduction	Chapter7	4	iff_equiv	gap	#5388	Equivalence of categories When two algebraic or geometric objects are isomorphic, it is usually not a good idea to say that they are equal (i.e., literally the same).
Chapter7/Introduction_7.4	introduction	Chapter7	4	iff_equiv	gap	#5388	This is accomplished by the definition of an equivalence of categories.
Chapter7/Discussion_after_Definition7.4.1	discussion	Chapter7	4	iff_equiv	gap	#5388	Also, the category **FSet** of finite sets is equivalent to the category whose objects are nonnegative integers, and morphisms are given by $$ \operatorname{Hom}(m, n) = \operatorname{Maps}(\{1, \ldots, m\}, \{1, \ldots, n\}). $$ Are these categories isomorphic?
Chapter7/Discussion_after_Definition7.9.1	discussion	Chapter7	4	iff_equiv	unknown	#5388	It is easy to show that if $F$ is an additive functor, then $F(X \oplus Y)$ is canonically isomorphic to $F(X) \oplus F(Y)$.
Chapter7/Introduction_7.5	introduction	Chapter7	3	property	unknown	#5388	We say that $F$ is **representable** if there exists an object $X \in \mathcal{C}$ such that $F$ is isomorphic to the functor $\operatorname{Hom}(X, ?)$.
Chapter7/Discussion_after_Definition7.6.1	discussion	Chapter7	3	dimformula	gap	#5388	This follows easily from the Yoneda lemma, since if **Table 1.** Dictionary between category theory and linear algebra. | Category theory | Linear algebra | |---|---| | Category $\mathcal{C}$ | Vector space $V$ with a nondegenerate inner product | | The set of morphisms $\operatorname{Hom}(X, Y)$ | 
Chapter7/Introduction_7.4	introduction	Chapter7	2	easy_assert	gap	#5388	It is easy to check that for any category $\mathcal{D}$, there is a natural bijection between the collections of isomorphism classes of functors $\mathcal{C}_1 \to \mathcal{D}$ and $\mathcal{C}_2 \to \mathcal{D}$ (both are identified with the collection of isomorphism classes of objects of $\mathcal
Chapter7/Discussion_after_Definition7.8.1	discussion	Chapter7	2	easy_assert	unknown	#5388	Clearly, such morphisms can be composed, which makes the class of all complexes over $\mathcal{C}$ into a category, denoted $\operatorname{Compl}(\mathcal{C})$.
Chapter7/Discussion_after_Remark7.7.4	discussion	Chapter7	1	thus_therefore	gap	#5388	In particular, the categories in Example 7.7.2 are $k$-linear.
Chapter9/Introduction_9.6	introduction	Chapter9	5	author_check	gap	#5388	Note that in such a category, Hom spaces are finite dimensional (check it!).
Chapter9/Introduction_9.7	introduction	Chapter9	5	author_check	gap	#5388	Then all the projective generators of $\mathcal{C}$ are the objects of the form $P_{\mathbf{n}} := \bigoplus_{i=1}^m n_i P_i$, where $n_i \geq 1$ (check it!).
Chapter9/Discussion_after_Definition9.7.1	discussion	Chapter9	5	easy_assert+property	gap	#5388	It is easy to see that this algebra is the only one of the $B_{\mathbf{n}}$ for which $B_{\mathbf{n}}/\operatorname{Rad}(B_{\mathbf{n}}) = \bigoplus_i \operatorname{Mat}_{n_i}(k)$ is commutative.
Chapter9/Introduction_9.7	introduction	Chapter9	4	iff_equiv	gap	#5388	Defining $B_{\mathbf{n}} = B_{\mathbf{n}}(\mathcal{C}) := \operatorname{End}(P_{\mathbf{n}})^{\mathrm{op}}$, we see that the algebras $B_{\mathbf{n}}$ are all the finite dimensional algebras whose category of finite dimensional modules is equivalent to $\mathcal{C}$.
Chapter9/Discussion_after_Definition9.7.1	discussion	Chapter9	3	this_defines+thus_therefore	gap	#5388	Thus, we obtain that Morita equivalence classes of finite dimensional algebras are the collections of the form $\{B_{\mathbf{n}}(\mathcal{C}), \mathbf{n} \in \mathbb{N}^m\}$.
Chapter9/Discussion_after_Definition9.7.1	discussion	Chapter9	3	dimformula	gap	#5388	Note that the dimension of $B_{\mathbf{n}}$ is $\sum c_{ij} n_i n_j$, where $(c_{ij})$ is the Cartan matrix of $\mathcal{C}$.
Chapter9/Discussion_after_Definition9.7.1	discussion	Chapter9	1	thus_therefore	gap	#5388	In particular, the algebra $B = B_{\mathbf{n}}$ with the smallest possible dimension, $\sum c_{ij}$, corresponds to the case when all $n_i = 1$, i.e., to the projective generator $P = \bigoplus_i P_i$.
